borough,address,latitude,longitude
BX,4277 3 AVENUE,40.8484943,-73.8956023
BX,459 EAST TREMONT AVENUE,40.8473468,-73.8984414
BX,1940 WASHINGTON AVENUE,40.8478396,-73.8971069
BX,521 EAST TREMONT AVENUE,40.8470623,-73.8964178
BX,4208 PARK AVENUE,40.8475777,-73.8988748
BX,452 EAST 178 STREET,40.8483153,-73.8980677
BX,2089 WASHINGTON AVENUE,40.8513765,-73.8959375
BX,2087 WASHINGTON AVENUE,40.8513244,-73.8959738
BK,364 CONEY ISLAND AVENUE,40.6489483,-73.9719272
BX,PARK AVENUE,40.848889,-73.8980993
BX,WASHINGTON AVENUE,40.8501064,-73.8967564
BX,452 EAST 182 STREET,40.8542738,-73.8947654
BX,PARK AVENUE,40.8489274,-73.8980776
BX,4259 3 AVENUE,40.8479565,-73.8958706
QN,9 AVENUE,40.7891061,-73.8420281
BK,420 LINCOLN AVENUE,40.6797447,-73.868783
BX,4386 PARK AVENUE,40.8520054,-73.896392
BX,EAST 181 STREET,40.852263,-73.8959253
BX,507 EAST 175 STREET,40.8444094,-73.8978749
BK,39 SOUTH ELLIOTT PLACE,40.6885014,-73.9755561
BK,FULTON STREET,40.6897735,-73.9825438
BX,NETHERLAND AVENUE,40.9090441,-73.904208
BX,1837 WASHINGTON AVENUE,40.8455222,-73.8992068
BK,ST FELIX STREET,40.6880159,-73.9773736
BX,4133 3RD AVENUE,40.8447961,-73.8974731
BX,448 EAST 178 STREET,40.8483731,-73.8982519
BK,37 LAFAYETTE AVENUE,40.6871431,-73.9775433
BX,RIVERDALE AVENUE,40.9093214,-73.9042474
BK,74 HANSON PLACE,40.6852294,-73.974609
BK,70 HANSON PLACE,40.6852075,-73.974746
QN,98-13 101 AVENUE,40.6853639,-73.8429698
QN,86-06 ROCKAWAY BOULEVARD,40.682674,-73.8533817
QN,DITMARS BOULEVARD,40.7653759,-73.8641559
QN,24 AVENUE,40.7666207,-73.8726298
MN,WEST 114 STREET,40.8077363,-73.9658169
MN,9 WEST 128 STREET,40.8088023,-73.9413752
MN,4 WEST 129 STREET,40.8090328,-73.9411655
MN,334 LENOX AVENUE,40.8087023,-73.9443302
MN,61 WEST 130 STREET,40.8107542,-73.9421502
BK,PROSPECT AVENUE,40.6664605,-73.9938253
MN,400 LENOX AVENUE,40.8106366,-73.9429161
MN,64 WEST 132 STREET,40.8115388,-73.9413114
MN,43 WEST 126 STREET,40.8079881,-73.9433193
MN,9 WEST 127 STREET,40.8081685,-73.9418092
BK,387 PALMETTO STREET,40.6991556,-73.9118378
BK,MYRTLE AVENUE,40.6992214,-73.9118052
MN,2159 ADAM C POWELL BLVD,40.8106329,-73.946655
MN,132 WEST 130 STREET,40.8112824,-73.9445845
QN,DITMARS BLVD,40.7637409,-73.8625781
MN,2157 ADAM C POWELL BLVD,40.8105725,-73.9466984
MN,166 WEST 128 STREET,40.8104736,-73.9465359
QN,DITMARS BOULEVARD,40.7636548,-73.8617697
MN,2506 AMSTERDAM AVENUE,40.8503096,-73.929696
MN,13 WASHINGTON TERRACE,40.8510698,-73.9294783
BK,WYCKOFF AVENUE,40.6956915,-73.9047165
MN,6 WASHINGTON TERRACE,40.8513938,-73.9297129
QN,COLLEGE PLACE,40.7922596,-73.8479796
BX,3701 PROVOST AVENUE,40.8884238,-73.8286889
BK,HANCOCK STREET,40.6964591,-73.9069585
BX,PRATT AVENUE,40.8884246,-73.834877
BX,1710 EAST 233 STREET,40.8877523,-73.8256454
BX,HARPER AVENUE,40.8859335,-73.833744
BX,ROMBOUTS AVENUE,40.8867,-73.8304474
QN,60 STREET,40.7552318,-73.9026497
BX,2220 LIGHT STREET,40.8875872,-73.83089
BX,3601 DE REIMER AVENUE,40.8829848,-73.8389011
BX,MAROLLA PLACE,40.8844829,-73.8365866
QN,1864 PALMETTO STREET,40.7039078,-73.9062087
BX,DE REIMER AVENUE,40.8842445,-73.8388583
QN,688 WOODWARD AVENUE,40.7047997,-73.9059658
QN,50 STREET,40.7618601,-73.905582
